brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Σύνολοκατόχων,Κίνηση,Χρώμαεσωτερικού,Ρύποι(co2),Κλάσηρύπων,Κατανάλωση,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας
Mini,Clubman,2015,Mini Clubman '15,MiniClubmanΆΡΙΣΤΟ'15,333925146,29.500€,"489,73€/μήνα",Μεταχειρισμένο,Αλλο,11/2015,81.200χλμ,Βενζίνη,2.000cc,280bhp,Αυτόματο,Γκρι(Μεταλλικό),Δέρμα,2/2024,18ίντσες,167€,Μονό,10,5,5,3ώρεςπριν,265,www.car.gr/333925146,"2102463631,2102461067","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,
Bmw,X1,2013,Bmw X1 '13  xDrive25d M Sportpacket,BmwX1xDrive25dMSportpacketSteptronic'13,332288195,22.500€,"373,53€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2013,144.000χλμ,Πετρέλαιο,1.995cc,235bhp,Αυτόματο,Πορτοκαλί(Μεταλλικό),Δέρμα-ύφασμα,,18ίντσες,,Ζυγό,6,5,5,3ώρεςπριν,430,www.car.gr/332288195,"2102463631,2102461067","['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",1,4x4(4WD),,,,,,,,
Toyota,Celica,1987,Toyota Celica '87,ToyotaCelicaST'87,334256099,14.000€,,Μεταχειρισμένο,Κουπέ-Σπόρ,7/1987,92.000χλμ,Βενζίνη,2.000cc,160bhp,Χειροκίνητο,Γκρι,,1/2025,,260€,Ζυγό,,3,4,3ώρεςπριν,396,www.car.gr/334256099,"2102463631,2102461067",[],,,,,,,,,,
Mercedes-Benz,C200,2007,Mercedes-Benz C 200 '07 Kompressor,Mercedes-BenzC200Kompressorelegance'07,331059088,8.700€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2007,325.000χλμ,Βενζίνη,1.796cc,163bhp,Αυτόματο,Μαύρο(Μεταλλικό),Δέρμα,1/2024,16ίντσες,,Μονό,6,4,5,3ώρεςπριν,1227,www.car.gr/331059088,"2102463631,2102461067","['Abs', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",2,Πισωκίνητο(RWD),Μπεζ,,,,,,,
Jeep,GrandCherokee,2001,Jeep Grand Cherokee,JeepGrandCherokee'01,36437082,4.500€,"74,71€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,4/2001,324.000χλμ,Αέριο(lpg)-βενζίνη,4.700cc,240bhp,Αυτόματο,Μαύρο(Μεταλλικό),Δέρμα,,,,Ζυγό,,5,5,3ώρεςπριν,9809,www.car.gr/36437082,"2102463631,2102461067","['Abs', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Parktronic', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",2,4x4(4WD),,,,,,,,
Volkswagen,Tiguan,2008,Volkswagen Tiguan '08  1.4 TSI Sport & Style,VolkswagenTiguan1.4TSISport&Style4MOTION'08,334342516,11.700€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2008,148.000χλμ,Βενζίνη,1.400cc,150bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δέρμα,5/2024,17ίντσες,,Ζυγό,8,5,3,3ημέρεςπριν,193,www.car.gr/334342516,6980844888,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Parktronic', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Υδραυλικό τιμόνι']",2,,Μαύρο,,,,,,,
Volkswagen,Polo,2014,Volkswagen Polo '14  1.4 TDI ¤ Highline Bluemotion ¤ ΜΗΔΕΝΙΚΑ ΤΕΛΗ,VolkswagenPolo1.4TDI¤HighlineBluemotion¤ΜΗΔΕΝΙΚΑΤΕΛΗ¤¤'14,333376708,11.200€,"197,71€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2014,135.000χλμ,Πετρέλαιο,1.422cc,90bhp,Χειροκίνητο,Ασπρο,Ύφασμα,9/2025,16ίντσες,0€,Άγνωστο,8,4,5,6ώρεςπριν,763,www.car.gr/333376708,"2721110463,6946297771,6944821090","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,Προσθιοκίνητο(FWD),Γκρι,88g/km,Euro6,,,,,
Porsche,Cayenne,2016,Porsche Cayenne '16 FULL,PorscheCayenneFULLEXTRA/diesel/ΑΕΡΟΑΝΑΡΤΗΣΗ'16,321613923,74.000€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2016,149.000χλμ,Πετρέλαιο,3.000cc,320bhp,Αυτόματο,Μαύρο(Μεταλλικό),Δέρμα,3/2024,20ίντσες,400€,Άγνωστο,10,5,5,4ώρεςπριν,8732,www.car.gr/321613923,"2102461538,6980488392,6989820739","['{Abs', '{Adaptive cruise control (acc)', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αερανάρτηση', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Αντικλεπτικό gps', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Μπλοκέ διαφορικό', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Συναγερμός', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",1,4x4(4WD),Μαύρο,167g/km,Euro6,"10(Εντός)/7,50(Εκτός)/8,50(Μικτό)λ/100χλμ",,,,
Nissan,Qashqai,2021,Nissan Qashqai '21 1ο Χέρι σαν,NissanQashqai1οΧέρισανΚαινούργιο'21,332287946,29.800€,"494,72€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2021,23.900χλμ,Βενζίνη,1.332cc,140bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,8/2025,,,Ζυγό,7,5,5,3ώρεςπριν,938,www.car.gr/332287946,"2102463631,2102461067",[],1,,,,,,,,,
Bmw,320,2006,Bmw 320 '06 Automatic Δερμάτινο Σαλόνι,Bmw320AutomaticΔερμάτινοΣαλόνι'06,330006673,6.800€,"112,89€/μήνα",Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2006,268.000χλμ,Βενζίνη,1.995cc,170bhp,Αυτόματο,Μαύρο(Μεταλλικό),Δέρμα,12/2024,17ίντσες,,Μονό,6,4,5,3ώρεςπριν,2766,www.car.gr/330006673,"2102463631,2102461067","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Parktronic', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",2,Πισωκίνητο(RWD),Μπεζ,,,,,,,
