brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Πινακίδα,Κίνηση,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Σύνολοκατόχων,Ρύποι(co2),Κλάσηρύπων,Τέληκυκλοφορίας,Κατανάλωση,Αερόσακοι
Mini,CooperS,2008,Mini Cooper S '08 WORKS CHILI,MiniCooperSWORKSCHILIPANORAMA'08,333522082,14.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2008,92.300χλμ,Βενζίνη,1.600cc,230bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,10/2024,18ίντσες,Μονό,Προσθιοκίνητο(FWD),3,4,1ημέραπριν,1154,www.car.gr/333522082,6973960778,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Μπλοκέ διαφορικό', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα xenon']",,,,,,
Toyota,Aygo,2016,Toyota Aygo '16 Χ-citε full extra,ToyotaAygoΧ-citεfullextra'16,330380656,9.999€,Μεταχειρισμένο,Λιμουζίνα/Sedan,9/2016,50.500χλμ,Βενζίνη,1.000cc,72bhp,Χειροκίνητο,Κίτρινο(Μεταλλικό),,,,,Άγνωστο,,5,5,3ώρεςπριν,1042,www.car.gr/330380656,"2102630622,6931579113","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",1,,,,,
Mercedes-Benz,E350,2018,Mercedes-Benz E 350 '18 DIESEL CABRIO 4-MATIC,Mercedes-BenzE350DIESELCABRIO4-MATICAIRMATIC'18,329967068,69.900€,Μεταχειρισμένο,Κάμπριο/Roadster,8/2018,85.000χλμ,Πετρέλαιο,3.000cc,258bhp,Αυτόματο,Μαύρο,Δίχρωμο,Δέρμα,8/2024,18ίντσες,Ζυγό,4x4(4WD),2,5,12ώρεςπριν,6682,www.car.gr/329967068,6907915669,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",1,170g/km,Euro6,400€,10(Εντός)/8(Εκτός)/9(Μικτό)λ/100χλμ,8
Mercedes-Benz,E200,2003,Mercedes-Benz E 200 '03  Compressor,Mercedes-BenzE200CompressorElegance'03,330673404,10.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,3/2003,111.000χλμ,Βενζίνη,1.800cc,163bhp,Αυτόματο,Γαλάζιο(Μεταλλικό),Μπεζ,Δέρμα,4/2025,16ίντσες,Ζυγό,Πισωκίνητο(RWD),5,5,1ώραπριν,8149,www.car.gr/330673404,6973202443,"['Abs', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Αισθητήρας βροχής', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Φώτα led']",2,,,,,6
Opel,Corsa,2008,Opel Corsa '08 Look,OpelCorsaLookGSI'08,333998013,5.450€,Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2008,280.000χλμ,Αέριο(lpg)-βενζίνη,1.400cc,90bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Μαύρο,Ύφασμα,6/2025,17ίντσες,Μονό,,3,5,3ημέρεςπριν,108,www.car.gr/333998013,"2110138062,2110138063,6907372614","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Immobilizer', 'Navigation - gps', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",3,,,265€,"8(Εντός)/6,50(Εκτός)/7(Μικτό)λ/100χλμ",8
Mercedes-Benz,C200,2005,Mercedes-Benz C 200 '05 Kompressor,Mercedes-BenzC200Kompressor163hp'05,332175948,2.750€,Μεταχειρισμένο,Λιμουζίνα/Sedan,12/2005,250.000χλμ,Βενζίνη,2.000cc,163bhp,Αυτόματο,Μπλέ(Μεταλλικό),Ασπρο,Δέρμα,8/2023,16ίντσες,Ζυγό,Πισωκίνητο(RWD),4,5,3ημέρεςπριν,1967,www.car.gr/332175948,"2110138062,2110138063,6907372614","['Abs', 'Adaptive cruise control (acc)', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Tcs - asr', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",2,,,,,8
Fiat,GrandePunto,2006,Fiat Grande Punto '06 GRANDE PUNTO,FiatGrandePuntoGRANDEPUNTO1.4'06,334495103,3.450€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2006,198.000χλμ,Βενζίνη,1.400cc,80bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,,,,Άγνωστο,,5,5,3ημέρεςπριν,81,www.car.gr/334495103,"2109418786,2109418784","['Abs', 'Cd player', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Πιστωτική κάρτα δεκτή', 'Υδραυλικό τιμόνι']",1,,,,,2
Toyota,Aygo,2015,Toyota Aygo '15 X-city!!ΤΕΛΕΙΟ!ΣΑΝ,ToyotaAygoX-city!!ΤΕΛΕΙΟ!ΣΑΝΚΑΙΝΟΥΡΙΟ!!'15,331941226,8.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2015,119.000χλμ,Βενζίνη,998cc,69bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δίχρωμο,Ύφασμα,2/2025,14ίντσες,Μονό,,5,5,2ώρεςπριν,5049,www.car.gr/331941226,6942410043,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",1,,,85€,"4,10(Μικτό)λ/100χλμ",8
Peugeot,206,2002,Peugeot 206 '02,Peugeot206Xs'02,334508357,3.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2002,211.000χλμ,Βενζίνη,1.390cc,90bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,,14ίντσες,Μονό,Προσθιοκίνητο(FWD),3,2,1ώραπριν,78,www.car.gr/334508357,6989906512,"['Abs', 'Esp', 'Usb', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι']",2,,,240€,,
Volkswagen,T-Roc,2019,Volkswagen T-Roc '19 2.0,VolkswagenT-Roc2.0TSI-DSG-MTM-NAVI-LED-PANO-SPORT-AUTOPARK'19,332971451,38.490€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2019,32.900χλμ,Βενζίνη,1.984cc,240bhp,Αυτόματο,Ασημί,,Δέρμα-ύφασμα,,19ίντσες,Μονό,4x4(4WD),5,5,6ώρεςπριν,2521,www.car.gr/332971451,6946308047,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",1,153g/km,Euro6,160€,,
