brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Κατάσταση,Τύποςαγγελίας,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Τέληκυκλοφορίας,Πινακίδα,Κίνηση,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Τιμή,Χρώμαεσωτερικού,Ρύποι(co2),Κλάσηρύπων,Σύνολοκατόχων,Αερόσακοι,Κατανάλωση
Lamborghini,Gallardo,2015,Lamborghini Gallardo '15 LPG 560 με οδηγό,LamborghiniGallardoLPG560μεοδηγό!!!!'15,24462334,Μεταχειρισμένο,Ενοικιάζεται,Κουπέ-Σπόρ,12/2015,22.000χλμ,Βενζίνη,5.200cc,560bhp,Αυτόματο,Ασπρο,Δέρμα,1/2022,20ίντσες,1.380€,Άγνωστο,4x4(4WD),2,2,19ώρεςπριν,2102,www.car.gr/24462334,6938352789,"['Abs', 'Android auto', 'Apple carplay', 'Bucket καθίσματα', 'Cd player', 'Dvd', 'Esp', 'Immobilizer', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή']",,,,,,,
Volvo,XC60,2018,Volvo XC 60 '18 Τ6 AWD,VolvoXC60Τ6AWDGEARTRONIC'18,334383236,Μεταχειρισμένο,,4χ4/Τζιπ/Suv,7/2018,70.000χλμ,Βενζίνη,2.000cc,320bhp,Αυτόματο,Μαύρο(Μεταλλικό),Δέρμα,7/2024,18ίντσες,400€,Ζυγό,4x4(4WD),5,5,2ώρεςπριν,75,www.car.gr/334383236,"2310925727,6996505656","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",42.900€,Καφέ,170g/km,Euro6c,1,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford,Focus,2016,Ford Focus '16  1.5 TDCi Start/Stopp,FordFocus1.5TDCiStart/StoppAUTOMATIC'16,330234579,Μεταχειρισμένο,,Κόμπακτ/Hatchback,11/2016,92.620χλμ,Πετρέλαιο,1.500cc,120bhp,Αυτόματο,Ασπρο,Ύφασμα,11/2024,17ίντσες,89€,Μονό,Προσθιοκίνητο(FWD),5,5,1ώραπριν,200,www.car.gr/330234579,"2102484484,6944945764,6946248060","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",15.500€,Μαύρο,99g/km,Euro6,,6,
Ferrari,360,2004,Ferrari 360 '04 MODENA F1 SPIDER,Ferrari360MODENAF1SPIDERελληνικο'04,21139932,Μεταχειρισμένο,Ενοικιάζεται,Κουπέ-Σπόρ,12/2004,45.000χλμ,Βενζίνη,3.600cc,480bhp,Αυτόματο,Κόκκινοσκούρο(Μεταλλικό),Δέρμα,12/2020,18ίντσες,1.350€,Ζυγό,Πισωκίνητο(RWD),2,2,19ώρεςπριν,6539,www.car.gr/21139932,6938352789,"['Abs', 'Bucket καθίσματα', 'Immobilizer', 'Parktronic', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,Μαύρο,,,,6,
Mercedes-Benz,ML350,2008,Mercedes-Benz ML 350 '08 Sport packet !!! ΔΩΡΟ,Mercedes-BenzML350Sportpacket!!!ΔΩΡΟΤΕΛΗ2023'08,325761393,Μεταχειρισμένο,,4χ4/Τζιπ/Suv,12/2008,223.000χλμ,Βενζίνη,3.500cc,278bhp,Αυτόματο,Μαύρο(Μεταλλικό),Δέρμα,12/2024,19ίντσες,,Μονό,,5,5,19ώρεςπριν,612,www.car.gr/325761393,6938352789,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tv\\u002Fcamera', 'Usb', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",16.800€,Μαύρο,,,2,9,
Toyota,Yaris,2012,Toyota Yaris '12  1.4,ToyotaYaris1.4D-4D'12,333258682,Μεταχειρισμένο,,Κόμπακτ/Hatchback,1/2012,129.900χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Ύφασμα,,16ίντσες,106€,Άγνωστο,,5,5,1ώραπριν,298,www.car.gr/333258682,"2102484484,6944945764,6946248060","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Ατρακάριστο', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",10.300€,Δίχρωμο,108g/km,Euro5,1,8,
Toyota,Aygo,2018,Toyota Aygo '18  1.0 ΜΗΔΕΝΙΚΑ,ToyotaAygo1.0ΜΗΔΕΝΙΚΑΤΕΛΗ'18,333504351,Μεταχειρισμένο,,Κόμπακτ/Hatchback,5/2018,82.200χλμ,Βενζίνη,1.000cc,70bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Ύφασμα,,,0€,Άγνωστο,,5,5,1ώραπριν,182,www.car.gr/333504351,"2102484484,6944945764,6946248060","['Abs', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",10.500€,Δίχρωμο,88g/km,Euro6,1,8,
Opel,Corsa,2015,Opel Corsa '15  1.3 CDTI ecoFlex,OpelCorsa1.3CDTIecoFlexAYTOMATO'15,327416589,Μεταχειρισμένο,,Κόμπακτ/Hatchback,11/2015,109.400χλμ,Πετρέλαιο,1.300cc,95bhp,Αυτόματο,Ασπρο,Ύφασμα,,16ίντσες,0€,Άγνωστο,,5,5,1ώραπριν,151,www.car.gr/327416589,"2102484484,6944945764,6946248060","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",11.390€,Δίχρωμο,85g/km,Euro6,1,6,
Citroen,C2,2005,Citroen C2,CitroenC2'05,334494718,Μεταχειρισμένο,,Κόμπακτ/Hatchback,1/2005,168.875χλμ,Πετρέλαιο,1.400cc,70bhp,Αυτόματο,Μαύρο(Μεταλλικό),Ύφασμα,2/2025,15ίντσες,240€,Ζυγό,Προσθιοκίνητο(FWD),3,4,3ημέρεςπριν,117,www.car.gr/334494718,6984846051,"['Abs', 'Cd player', 'Esp']",4.400€,Μαύρο,,Euro4,2,4,6(Εντός)/3(Εκτός)/4(Μικτό)λ/100χλμ
