brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Πινακίδα,Σύνολοκατόχων,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κτέομέχρι,Παράδοσηστοσπίτι,Κλάσηρύπων,Μέγεθοςζάντας,Ρύποι(co2),Τέληκυκλοφορίας,Κατανάλωση,Αερόσακοι,Κίνηση
Chrysler,Sebring,2005,Chrysler Sebring '05 0 ΠΡΟΚΑΤΑΒΟΛΗ ΕΩΣ 60,ChryslerSebring0ΠΡΟΚΑΤΑΒΟΛΗΕΩΣ60ΔΟΣΕΙΣ'05,332882776,5.490€,"110,81€/μήνα",Μεταχειρισμένο,Κάμπριο/Roadster,10/2005,140.000χλμ,Βενζίνη,2.000cc,160bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μπεζ,Δέρμα-ύφασμα,Μονό,1,3,5,24ώρεςπριν,124,www.car.gr/332882776,"6983798465,6942528636","['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",,,,,,,,,
Renault,Captur,2018,Renault Captur '18 DYNAMIQUE! 6-ΤΑΧΥΤΟ! 110ps,RenaultCapturDYNAMIQUE!6-ΤΑΧΥΤΟ!110ps'18,333798322,15.990€,"322,75€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2018,110.000χλμ,Πετρέλαιο,1.500cc,110bhp,Χειροκίνητο,Ασπρο,,Ύφασμα,Άγνωστο,1,5,5,16λεπτάπριν,710,www.car.gr/333798322,"6983798465,6942528636","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",5/2025,,,,,,,,
Nissan,Qashqai,2009,Nissan Qashqai '09 1o ΧΕΡΙ!! ΖΑΝΤΕΣ! 0 ΠΡΟΚΑΤΑΒΟΛΗ ΕΩΣ 60 ΔΟΣΕΙΣ,NissanQashqai1oΧΕΡΙ!!ΖΑΝΤΕΣ!0ΠΡΟΚΑΤΑΒΟΛΗΕΩΣ60ΔΟΣΕΙΣ'09,333919305,8.500€,"144,36€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,11/2009,240.000χλμ,Βενζίνη,1.600cc,115bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,Ύφασμα,Ζυγό,1,5,5,2ώρεςπριν,1303,www.car.gr/333919305,"6983798465,6942528636","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Usb', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",3/2025,Ναι,,,,,,,
Bmw,116,2011,Bmw 116 '11 ( ΠΟΥΛΗΘΗΚΕ)ΕΛΛΗΝΙΚΟ,Bmw116(ΠΟΥΛΗΘΗΚΕ)ΕΛΛΗΝΙΚΟ!!'11,334343429,8.990€,"195,46€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2011,133.000χλμ,Βενζίνη,1.598cc,122bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Βελούδο,Ζυγό,1,3,5,2ημέρεςπριν,27,www.car.gr/334343429,6937149530,"['Abs', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Keyless', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",10/2024,,Euro5,17ίντσες,,,,,
Renault,Captur,2016,Renault Captur '16 ENERGY dCi 110,RenaultCapturENERGYdCi110Dynamique'16,333372777,13.990€,"282,38€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,3/2016,129.000χλμ,Πετρέλαιο,1.500cc,110bhp,Χειροκίνητο,Μπεζ(Μεταλλικό),Μαύρο,Ύφασμα,Άγνωστο,1,5,5,16λεπτάπριν,766,www.car.gr/333372777,"6983798465,6942528636","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα που στρίβουν']",3/2025,Ναι,Euro6,,,,,,
Renault,Captur,2017,Renault Captur '17 DYNAMIQUE! EURO 6! GRIP,RenaultCapturDYNAMIQUE!EURO6!GRIPCONTROL!'17,334314891,13.990€,"282,38€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2017,142.000χλμ,Πετρέλαιο,1.500cc,90bhp,Χειροκίνητο,Μόβ-βιολετί(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,Άγνωστο,1,5,5,2ώρεςπριν,326,www.car.gr/334314891,"6983798465,6942528636","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα που στρίβουν']",,,Euro6,,,,,,
Fiat,Punto,2017,Fiat Punto '17 Lounge_95ps_μόνο 38.000,FiatPuntoLounge_95ps_μόνο38.000χλμ_Ελληνικό_**Ευκαιρία**'17,334336812,11.820€,"198,66€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2017,38.000χλμ,Πετρέλαιο,1.248cc,95bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Alcantara,Ζυγό,1,5,5,38λεπτάπριν,7,www.car.gr/334336812,"2314066717,6945469497","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",1/2025,,Euro6,16ίντσες,89g/km,0€,6(Εντός)/4(Εκτός)/5(Μικτό)λ/100χλμ,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai,i10,2015,Hyundai i 10 '15 LED! FULL EXTRA!! 0 ΠΡΟΚΑΤΑΒΟΛΗ ΕΩΣ 60 ΔΟΣΕΙΣ,Hyundaii10LED!FULLEXTRA!!0ΠΡΟΚΑΤΑΒΟΛΗΕΩΣ60ΔΟΣΕΙΣ'15,334338665,8.690€,"175,40€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2015,103.000χλμ,Βενζίνη,998cc,70bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Μαύρο,,Άγνωστο,1,5,5,16λεπτάπριν,348,www.car.gr/334338665,"6983798465,6942528636","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Usb', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",6/2025,Ναι,,,,,,,
Hyundai,i20,2018,Hyundai i 20 '18  1.1 Diesel_Ελληνικό_διαβάστε,Hyundaii201.1Diesel_Ελληνικό_διαβάστεπεριγραφή'18,329961142,10.990€,"184,71€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2018,1χλμ,Πετρέλαιο,1.100cc,75bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,Άγνωστο,1,5,5,38λεπτάπριν,471,www.car.gr/329961142,"2314066717,6945469497","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",1/2025,,Euro6,15ίντσες,,,,6,Προσθιοκίνητο(FWD)
