brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Πινακίδα,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Επένδυσησαλονιού,Κίνηση,Μέγεθοςζάντας,Χρώμαεσωτερικού,Σύνολοκατόχων,Κτέομέχρι,Κλάσηρύπων,Τέληκυκλοφορίας,Αερόσακοι,Χρηματοδότηση,Ρύποι(co2),Κατανάλωση,Παράδοσηστοσπίτι
Ford,B-Max,2014,Ford B-Max,FordB-Max'14,327565249,9.950€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2014,137.000χλμ,Βενζίνη,1.000cc,125bhp,Χειροκίνητο,Μπεζ(Μεταλλικό),Άγνωστο,5,5,20ώρεςπριν,423,www.car.gr/327565249,"2102856921,6944226978","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Συρόμενη πόρτα αριστερά', 'Συρόμενη πόρτα δεξιά', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα xenon']",,,,,,,,,,,,,
Bmw,1602,1969,Bmw 1602 '69 αριστη κατασταση,Bmw1602αριστηκατασταση1600-2'69,30375694,13.950€,Μεταχειρισμένο,Κουπέ-Σπόρ,8/1969,57.000χλμ,Βενζίνη,1.600cc,87bhp,Χειροκίνητο,Πράσινοσκούρο,Άγνωστο,2,5,20ώρεςπριν,1061,www.car.gr/30375694,"2102856921,6944226978","['Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Μη καπνιστή', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός']",Δέρμα-ύφασμα,Πισωκίνητο(RWD),,,,,,,,,,,
Audi,Q3,2019,Audi Q3 '19  35 TFSI S line S,AudiQ335TFSISlineStronic'19,333672556,40.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2019,41.000χλμ,Βενζίνη,1.400cc,150bhp,Αυτόματο,Γκρι(Μεταλλικό),Άγνωστο,5,5,20ώρεςπριν,722,www.car.gr/333672556,"2102856921,6944226978","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,18ίντσες,,,,,,,,,,
Volkswagen,Passat,2000,Volkswagen Passat '00 Υγραέριο,VolkswagenPassatΥγραέριο!'00,334059580,2.350€,Μεταχειρισμένο,Λιμουζίνα/Sedan,8/2000,199.000χλμ,Αέριο(lpg)-βενζίνη,1.781cc,150bhp,Χειροκίνητο,Μπλέ,Ζυγό,5,5,5ώρεςπριν,294,www.car.gr/334059580,"6975983431,2296400220,6975983431","['Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή']",,,,Μπεζ,1,,,,,,,,
Peugeot,3008,2011,Peugeot 3008 '11  AUTOMATIC ΜΕ ΤΕΛΗ,Peugeot3008AUTOMATICΜΕΤΕΛΗ2023'11,329717003,10.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2011,116.500χλμ,Βενζίνη,1.600cc,150bhp,Αυτόματο,Μαύρο(Μεταλλικό),Άγνωστο,5,5,20ώρεςπριν,450,www.car.gr/329717003,"2102856921,6944226978","['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα xenon']",,,,,,,,,,,,,
Mg,ZT,2004,Mg ZT '04 με τελη,MgZTμετελη2023'04,329441565,4.950€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2004,145.000χλμ,Βενζίνη,2.500cc,250bhp,Χειροκίνητο,Μπορντό(Μεταλλικό),Άγνωστο,4,5,20ώρεςπριν,938,www.car.gr/329441565,"2102856921,6944226978","['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα xenon']",,,,,,,,,,,,,
Citroen,C3,2016,Citroen C3 '16  PureTech 82,CitroenC3PureTech82Selection'16,327442278,8.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2016,114.000χλμ,Βενζίνη,1.000cc,82bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Άγνωστο,5,5,20ώρεςπριν,234,www.car.gr/327442278,"2102856921,6944226978","['Abs', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα xenon']",,,,,,,,,,,,,
Mercedes-Benz,CLK200,2006,Mercedes-Benz CLK 200 '06 με τελη,Mercedes-BenzCLK200μετελη2023'06,323752097,9.900€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2006,117.000χλμ,Βενζίνη,1.800cc,163bhp,Χειροκίνητο,Μπεζ(Μεταλλικό),Άγνωστο,2,4,20ώρεςπριν,1648,www.car.gr/323752097,"2102856921,6944226978","['Abs', 'Cd player', 'Cruise control', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα xenon']",,,,,,,,,,,,,
Bmw,Z4,2007,Bmw Z4 '07 face,BmwZ4facelift'07,318945537,8.900€,Μεταχειρισμένο,Κάμπριο/Roadster,2/2007,218.000χλμ,Βενζίνη,2.000cc,150bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Άγνωστο,2,2,20ώρεςπριν,1784,www.car.gr/318945537,"2102856921,6944226978","['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα xenon']",,,18ίντσες,,,,,,,,,,
Ford,Fiesta,2017,Ford Fiesta '17  ST LINE ECO BOOST ΕΛΛΗΝΙΚΗΣ,FordFiestaSTLINEECOBOOSTΕΛΛΗΝΙΚΗΣΑΝΤΙΠΡΟΣΩΠΕΙΑΣ'17,333795063,15.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2017,88.000χλμ,Βενζίνη,1.000cc,125bhp,Χειροκίνητο,Ασπρο,Ζυγό,5,5,18ώρεςπριν,1921,www.car.gr/333795063,6934165359,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Ύφασμα,,17ίντσες,Γκρι,1,11/2023,Euro6,100€,6,,,,
