brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Κλάσηρύπων,Μέγεθοςζάντας,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κατανάλωση,Ρύποι(co2),Τέληκυκλοφορίας,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Τιμήπολύτεκνου,Χρηματοδότηση,Παράδοσηστοσπίτι
Skoda,Karoq,2019,Skoda Karoq '19 1.0 115HP,SkodaKaroq1.0115HPDSG'19,333186328,21.500€,Μεταχειρισμένο,Αλλο,4/2019,37.713χλμ,Βενζίνη,999cc,115bhp,Αυτόματο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,4/2023,Euro6,17ίντσες,Ζυγό,1,Προσθιοκίνητο(FWD),6,5,5,9ώρεςπριν,739,www.car.gr/333186328,2105121505,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,,,,,
Citroen,C5Aircross,2023,Citroen C5 Aircross '23 FL 1.2 130hp,CitroenC5AircrossFL1.2130hpC-Series'23,331966263,33.300€,,4χ4/Τζιπ/Suv,3/2023Καινούριο,,Βενζίνη,1.199cc,130bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,3/2027,Euro6d,18ίντσες,Άγνωστο,,Προσθιοκίνητο(FWD),6,5,5,9ώρεςπριν,1395,www.car.gr/331966263,2105121505,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']","6,50(Εντός)/6(Εκτός)/6,20(Μικτό)λ/100χλμ",,,,,,,,,,
Toyota,Auris,2016,Toyota Auris '16 HYBRID ACTIVE,ToyotaAurisHYBRIDACTIVE'16,329743320,15.900€,Μεταχειρισμένο,Αλλο,3/2016,104.797χλμ,Υβριδικόβενζίνη,1.798cc,100bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Μαύρο,Ύφασμα,1/2024,Euro6,16ίντσες,Μονό,,Προσθιοκίνητο(FWD),6,5,5,9ώρεςπριν,1509,www.car.gr/329743320,2105121505,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,,,,,
Mercedes-Benz,ML400,2001,Mercedes-Benz ML 400 '01 ΔΩΡΟ ΤΕΛΗ,Mercedes-BenzML400ΔΩΡΟΤΕΛΗ2023!!!'01,320942263,5.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2001,224.927χλμ,Πετρέλαιο,3.996cc,246bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),Μαύρο,Δέρμα,6/2022,,17ίντσες,Ζυγό,,,6,5,5,9ώρεςπριν,8251,www.car.gr/320942263,2105121505,"['Abs', 'Bluetooth', 'Cd player', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,
Citroen,Berlingo,2019,Citroen Berlingo '19 1.2 110HP MULTISPACE,CitroenBerlingo1.2110HPMULTISPACE7S'19,322028462,24.000€,Μεταχειρισμένο,Van/MiniBus,6/2019,41.083χλμ,Βενζίνη,1.199cc,110bhp,Χειροκίνητο,Ασπρο,Γκρι,Ύφασμα,6/2023,Euro6,,Ζυγό,,Προσθιοκίνητο(FWD),6,4,7,9ώρεςπριν,7902,www.car.gr/322028462,2105121505,"['Abs', 'Bluetooth', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Καθίσματα 7 +', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,,,,,
Dacia,Duster,2016,Dacia Duster '16 1.5*PRESTIGE*4X4*EURO,DaciaDuster1.5*PRESTIGE*4X4*EURO6*'16,334114102,13.999€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,3/2016,150.000χλμ,Πετρέλαιο,1.500cc,110bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,1/2024,Euro6c,16ίντσες,Άγνωστο,1,4x4(4WD),6,5,5,7ώρεςπριν,107,www.car.gr/334114102,"6944652178,2410670878,6948876321","['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']","5,50(Μικτό)λ/100χλμ",123g/km,147€,,,,,,,,
Opel,Corsa,2018,Opel Corsa '18 1.2 *Innovation*Euro,OpelCorsa1.2*Innovation*Euro6*'18,333726163,9.700€,Μεταχειρισμένο,Αλλο,1/2018,93.000χλμ,Βενζίνη,1.230cc,75bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Μαύρο,Ύφασμα,8/2024,,15ίντσες,Άγνωστο,1,,6,5,5,7ώρεςπριν,299,www.car.gr/333726163,"6944652178,2410670878,6948876321","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",4(Μικτό)λ/100χλμ,126g/km,150€,,,,,,,,
Volkswagen,Phaeton,2004,Volkswagen Phaeton '04,VolkswagenPhaetonΓΡΑΜΜΑΤΙΑ'04,3817257,8.998€,Μεταχειρισμένο,Λιμουζίνα/Sedan,3/2004,234.000χλμ,Πετρέλαιο,4.921cc,313bhp,Αυτόματο,Ασημί,,,,,18ίντσες,Μονό,,4x4(4WD),8,4,5,3ημέρεςπριν,55969,www.car.gr/3817257,"2310705705,6945851831","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,,,
Volkswagen,Polo,2015,"Volkswagen Polo '15 1,2 TSI*90HP* EURO","VolkswagenPolo1,2TSI*90HP*EURO6*'15",333725875,9.999€,Μεταχειρισμένο,Αλλο,8/2015,131.000χλμ,Βενζίνη,1.200cc,90bhp,Χειροκίνητο,Μαύρο,Μαύρο,Ύφασμα,9/2024,Euro6c,14ίντσες,Άγνωστο,1,,6,5,5,7ώρεςπριν,226,www.car.gr/333725875,"6944652178,2410670878,6948876321","['Abs', 'Bluetooth', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']","4,50(Μικτό)λ/100χλμ",107g/km,97€,,,,,,,,
Mazda,RX-8,2005,Mazda RX-8 '05,MazdaRX-8Cosmo'05,334029580,6.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2005,126.000χλμ,Βενζίνη,1.300cc,231bhp,Χειροκίνητο,Ασπρο,Δίχρωμο,Ύφασμα,,,18ίντσες,Άγνωστο,,Πισωκίνητο(RWD),,5,4,14ώρεςπριν,1276,www.car.gr/334029580,6949306391,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Dvd', 'Esp', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Γραμμάτια δεκτά', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μπλοκέ διαφορικό', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Φώτα led']",,,135€,,,,,,,,
