brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Ρύποι(co2),Κλάσηρύπων,Μέγεθοςζάντας,Κατανάλωση,Πινακίδα,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Αυτονομίαμπαταρίας,Χωρητικότηταμπαταρίας,Τέληκυκλοφορίας,Χρόνοςφόρτισηςμπαταρίας,Κτέομέχρι,Σύνολοκατόχων,Kilowatt,Χρόνοςγρήγορηςφόρτισηςμπαταρίας
Ford,TransitCourier,2018,Ford Transit Courier '18,FordTransitCourierTourneo'18,329669485,10.000€Χωρίςφπα,Μεταχειρισμένο,Van/MiniBus,11/2018,200.800χλμ,Πετρέλαιο,1.498cc,100bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Μαύρο,Ύφασμα,117g/km,Euro6,15ίντσες,"4,50(Μικτό)λ/100χλμ",Χωρίς,Προσθιοκίνητο(FWD),4,4,2,17ώρεςπριν,839,www.car.gr/329669485,"2109637700,6945777727,6945777737","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Συρόμενες πόρτες χ2', 'Τιμή χωρίς φπα', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,
Mini,Countryman,2019,Mini Countryman '19 Cooper,MiniCountrymanCooperSE'19,333061416,34.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,12/2019,49.077χλμ,Υβριδικόplug-inβενζίνη,1.499cc,220bhp,Αυτόματο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,43g/km,Euro6,17ίντσες,"1,90(Μικτό)λ/100χλμ",Χωρίς,4x4(4WD),8,5,5,17ώρεςπριν,251,www.car.gr/333061416,"2109637700,6945777727,6945777737","['{Abs', '{Adaptive cruise control (acc)', '{Android auto', '{Apple carplay', '{Bluetooth', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Αυτόματο παρκάρισμα', '{Βιβλίο service', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Ράδιοκασετ\\u002Fνο', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",51χλμ,10kwh,0€,,,,,
Bmw,X1,2020,Bmw X1 '20  xDrive25e Sport Line,BmwX1xDrive25eSportLineSteptronic'20,329006950,41.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2020,34.556χλμ,Υβριδικόplug-inβενζίνη,1.499cc,220bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,Δέρμα,41g/km,Euro6,18ίντσες,"1,80(Μικτό)λ/100χλμ",Χωρίς,AWD,10,5,5,17ώρεςπριν,2305,www.car.gr/329006950,"2109637700,6945777727,6945777737","['{Abs', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Ράδιοκασετ\\u002Fνο', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",50χλμ,10kwh,0€,3ώρες,,,,
Bmw,225ActiveTourer,2016,Bmw 225 Active Tourer '16 XE Luxury,Bmw225ActiveTourerXELuxuryLine'16,330875864,25.400€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2016,67.760χλμ,Υβριδικόplug-inβενζίνη,1.499cc,224bhp,Αυτόματο,Γκρι(Μεταλλικό),Μαύρο,Δέρμα,46g/km,Euro6,17ίντσες,2(Μικτό)λ/100χλμ,Χωρίς,AWD,8,5,5,17ώρεςπριν,429,www.car.gr/330875864,"2109637700,6945777727,6945777737","['{Abs', '{Adaptive cruise control (acc)', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Dvd', '{Eco start\\u002Fstop', '{Esp', '{Head-up display', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Ράδιοκασετ\\u002Fνο', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,0€,,,,,
Peugeot,208,2019,Peugeot 208 '19 1.2 PureTech 82,Peugeot2081.2PureTech82LPG'19,330264478,10.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2019,86.453χλμ,Βενζίνη,1.199cc,82bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,110g/km,Euro6,15ίντσες,,Μονό,Προσθιοκίνητο(FWD),6,5,5,17ώρεςπριν,523,www.car.gr/330264478,"2109637700,6945777727,6945777737","['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,107€,,,,,
Bmw,116,2016,Bmw 116 '16 d Efficient,Bmw116dEfficientDynamics'16,334244609,15.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2016,87.570χλμ,Πετρέλαιο,1.496cc,116bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Μαύρο,Ύφασμα,89g/km,Euro6,17ίντσες,"3,40(Μικτό)λ/100χλμ",Ζυγό,Πισωκίνητο(RWD),6,5,5,17ώρεςπριν,228,www.car.gr/334244609,"2109637700,6945777727,6945777737","['Abs', 'Cd player', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,0€,,10/2024,1,,
Mini,Clubman,2016,Mini Clubman '16 One,MiniClubmanOneD'16,333201334,15.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2016,159.000χλμ,Πετρέλαιο,1.496cc,116bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,102g/km,Euro6,17ίντσες,"4,10(Μικτό)λ/100χλμ",Ζυγό,Προσθιοκίνητο(FWD),8,5,5,17ώρεςπριν,341,www.car.gr/333201334,"2109637700,6945777727,6945777737","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,99€,,,,,
Fiat,500,2010,Fiat 500 '10 Abarth C 1.4 16V Sport,Fiat500AbarthC1.416VSportDualogic'10,332886775,14.950€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2010,151.205χλμ,Βενζίνη,1.368cc,140bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Δέρμα,151g/km,Euro5,17ίντσες,"6,50(Μικτό)λ/100χλμ",Μονό,Προσθιοκίνητο(FWD),5,3,4,17ώρεςπριν,626,www.car.gr/332886775,"2109637700,6945777727,6945777737","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Esp', '{Hill assist', '{Immobilizer', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,255€,,12/2023,,,
Ford,Ranger,2020,Ford Ranger '20 Double Cabin 2.0 TDCi Wildtrak 4x4,FordRangerDoubleCabin2.0TDCiWildtrak4x4Automatic'20,334493551,32.500€Χωρίςφπα,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2020,169.053χλμ,Πετρέλαιο,1.996cc,213bhp,Αυτόματο,Πορτοκαλί(Μεταλλικό),Μαύρο,Δέρμα,204g/km,Euro6,18ίντσες,"7,80(Μικτό)λ/100χλμ",Μονό,4x4(4WD),7,4,5,17ώρεςπριν,29,www.car.gr/334493551,"2109637700,6945777727,6945777737","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Αγροτικό', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τιμή χωρίς φπα', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,1,,
LandRover,Freelander,2008,Land Rover Freelander '08 2 S i6,LandRoverFreelander2Si6Automatic'08,333676524,10.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2008,112.680χλμ,Βενζίνη,3.192cc,233bhp,Αυτόματο,Γκρι(Μεταλλικό),Μπεζ,Δέρμα,265g/km,Euro4,19ίντσες,"11,20(Μικτό)λ/100χλμ",Μονό,4x4(4WD),10,5,5,17ώρεςπριν,509,www.car.gr/333676524,"2109637700,6945777727,6945777737","['{Abs', '{Bucket καθίσματα', '{Cruise control', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Tcs - asr', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Μπλοκέ διαφορικό', '{Οθόνη tft', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Ράδιοκασετ\\u002Fνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,1.150€,,,,,
