brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Πινακίδα,Σύνολοκατόχων,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κίνηση,Ρύποι(co2),Τέληκυκλοφορίας,Κλάσηρύπων,Τιμήπολύτεκνου,Κατανάλωση
Opel,Astra,2013,Opel Astra '13 ΑΡΙΣΤΟ..ΕΓΓΎΗΣΗ,OpelAstraΑΡΙΣΤΟ..ΕΓΓΎΗΣΗΧΙΛΙΟΜΈΤΡΩΝ.'13,333372392,10.800€,Μεταχειρισμένο,Κουπέ-Σπόρ,7/2013,166.000χλμ,Πετρέλαιο,1.300cc,95bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δίχρωμο,Ύφασμα,3/2025,17ίντσες,Άγνωστο,1,8,5,5,11ώρεςπριν,855,www.car.gr/333372392,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Επέκταση εγγύησης', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,,,
Fiat,500X,2018,Fiat 500X '18 Fiat 500X 1.4  140 HP AUTO ΕΛΛΗΝΙΚΟ,Fiat500XFiat500X1.4140HPAUTOΕΛΛΗΝΙΚΟ'18'18,334049478,19.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,5/2018,48.000χλμ,Βενζίνη,1.400cc,140bhp,Αυτόματο,Μπλέ(Μεταλλικό),,Ύφασμα,,,Μονό,,6,5,5,14ώρεςπριν,182,www.car.gr/334049478,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,
Nissan,Qashqai,2009,Nissan Qashqai '09  1.6 ACENTA,NissanQashqai1.6ACENTAΕΛΛΗΝΙΚΟ'09,332910299,10.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2009,136.800χλμ,Βενζίνη,1.600cc,115bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Δίχρωμο,Ύφασμα,5/2023,17ίντσες,Μονό,1,6,5,5,14ώρεςπριν,712,www.car.gr/332910299,2105690550,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,
Daihatsu,Sirion,2007,Daihatsu Sirion,DaihatsuSirion'07,331838951,5.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2007,116.000χλμ,Βενζίνη,1.300cc,85bhp,Χειροκίνητο,Κόκκινο,Γκρι,Ύφασμα,,,Ζυγό,,2,5,5,14ώρεςπριν,2134,www.car.gr/331838951,2105690550,"['Abs', 'Cd player', 'Immobilizer', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι']",Προσθιοκίνητο(FWD),,,,,
Citroen,C3,2020,Citroen C3 '20 euro 6,CitroenC3euro6disel'20,334059774,13.700€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2020,75.000χλμ,Πετρέλαιο,1.500cc,102bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,,,,Άγνωστο,,,5,4,1ημέραπριν,160,www.car.gr/334059774,"2310675675,2310675000,6972916086","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,
Opel,Corsa,2019,Opel Corsa '19  1.4 Turbo ecoFlex Innovation,OpelCorsa1.4TurboecoFlexInnovation'19,331049429,13.490€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2019,64.477χλμ,Βενζίνη,1.400cc,100bhp,Χειροκίνητο,Ασπρο,Γκρι,Ύφασμα,,16ίντσες,Μονό,1,6,5,5,14ώρεςπριν,1620,www.car.gr/331049429,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,128g/km,,,,
Nissan,Micra,2011,Nissan Micra,NissanMicra'11,334341510,5.700€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2011,85.693χλμ,Βενζίνη,1.198cc,80bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,10/2024,,Ζυγό,2,2,5,5,2ώρεςπριν,1820,www.car.gr/334341510,6955131871,"['Bluetooth', 'Isofix -παιδικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι']",,115g/km,112€,,,
Nissan,Juke,2014,Nissan Juke '14 1.5 Dci Leather Camera,NissanJuke1.5DciLeatherCamera'14,332453071,11.750€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2014,141.330χλμ,Πετρέλαιο,1.500cc,110bhp,Χειροκίνητο,Ασημί,Δίχρωμο,Δέρμα,2/2025,17ίντσες,Άγνωστο,,6,5,5,2ώρεςπριν,1174,www.car.gr/332453071,"2102461891,6944942355","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led']",,,,Euro5,,
Peugeot,2008,2020,Peugeot 2008 '20  PureTech 110 STOP&START,Peugeot2008PureTech110STOP&STARTUrban'20,334482063,23.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,4/2020,77.000χλμ,Πετρέλαιο,1.500cc,110bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δίχρωμο,Ύφασμα,6/2025,16ίντσες,Άγνωστο,,8,5,5,11ώρεςπριν,35,www.car.gr/334482063,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,
Volkswagen,Passat,2017,"Volkswagen Passat '17 1,6 BLUEMOTION 120HP","VolkswagenPassat1,6BLUEMOTION120HPΕΛΛΗΝΙΚΟ'17",331696197,15.300€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2017,171.000χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,2/2025,16ίντσες,Ζυγό,,8,5,5,14ώρεςπριν,1336,www.car.gr/331696197,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,105g/km,103€,Euro6,,
